neighbourhood_group,neighbourhood,room_type,price,minimum_nights,number_of_reviews,reviews_per_month,calculated_host_listings_count,availability_365
Queens,Richmond Hill,Private room,150,1,1,0.4,1,0
Manhattan,Chelsea,Entire home/apt,180,2,134,4.17,1,70
Manhattan,Washington Heights,Entire home/apt,105,3,8,0.21,1,0
Manhattan,Upper East Side,Entire home/apt,220,5,0,1.3732214298586618,1,77
Brooklyn,Bedford-Stuyvesant,Private room,200,1,13,0.5,2,23
Brooklyn,Williamsburg,Private room,85,2,35,0.55,2,365
Queens,Rosedale,Entire home/apt,100,1,33,2.86,1,171
Manhattan,Upper West Side,Entire home/apt,133,30,8,0.43,91,301
Queens,East Elmhurst,Private room,48,1,436,16.03,5,337
Manhattan,West Village,Entire home/apt,500,2,3,2.31,1,82
Queens,Ditmars Steinway,Entire home/apt,70,2,9,0.26,1,0
Brooklyn,Bedford-Stuyvesant,Private room,75,3,0,1.3732214298586618,2,0
Brooklyn,Bath Beach,Private room,59,2,0,1.3732214298586618,2,361
Manhattan,East Village,Entire home/apt,199,2,1,0.02,1,0
Brooklyn,Fort Hamilton,Private room,68,5,2,1.71,2,55
Brooklyn,Bedford-Stuyvesant,Entire home/apt,175,3,12,4.0,1,301
Brooklyn,Bushwick,Entire home/apt,109,3,72,2.55,4,140
Manhattan,East Village,Private room,200,1,0,1.3732214298586618,1,0
Manhattan,Harlem,Private room,58,2,68,2.35,4,1
Manhattan,Harlem,Private room,52,3,163,2.17,2,0
Queens,Long Island City,Entire home/apt,250,2,0,1.3732214298586618,1,76
Queens,Jackson Heights,Private room,120,7,0,1.3732214298586618,1,0
Manhattan,Hell's Kitchen,Entire home/apt,499,30,0,1.3732214298586618,8,365
Manhattan,West Village,Entire home/apt,450,3,0,1.3732214298586618,1,0
Brooklyn,East Flatbush,Entire home/apt,76,7,1,0.03,1,0
Manhattan,Harlem,Private room,125,1,0,1.3732214298586618,1,365
Manhattan,Hell's Kitchen,Entire home/apt,425,3,5,5.0,1,0
Brooklyn,Downtown Brooklyn,Entire home/apt,180,14,1,0.1,1,0
Bronx,Allerton,Entire home/apt,79,2,95,4.46,1,225
Manhattan,Hell's Kitchen,Entire home/apt,200,3,9,0.26,1,0
Brooklyn,Bushwick,Private room,75,20,1,0.11,1,93
Brooklyn,Bedford-Stuyvesant,Entire home/apt,350,5,0,1.3732214298586618,1,22
Brooklyn,Flatlands,Entire home/apt,170,1,0,1.3732214298586618,2,363
Brooklyn,Bedford-Stuyvesant,Entire home/apt,145,3,30,0.32,3,11
Brooklyn,Brownsville,Private room,55,2,58,2.25,3,0
Queens,Flushing,Entire home/apt,72,1,256,7.1,1,124
Brooklyn,East New York,Private room,48,1,1,1.0,2,334
Brooklyn,Bedford-Stuyvesant,Entire home/apt,115,3,131,2.27,2,241
Manhattan,Upper East Side,Entire home/apt,120,1,0,1.3732214298586618,1,1
Manhattan,Hell's Kitchen,Entire home/apt,170,4,112,2.97,1,262
Brooklyn,Bushwick,Private room,25,2,35,1.8,3,3
Manhattan,Lower East Side,Private room,100,20,0,1.3732214298586618,1,0
Bronx,Tremont,Private room,45,2,49,1.95,2,324
Manhattan,Upper East Side,Entire home/apt,140,30,6,0.16,1,0
Manhattan,East Village,Entire home/apt,150,62,0,1.3732214298586618,1,358
Bronx,City Island,Private room,29,1,2,1.43,1,18
Brooklyn,Sheepshead Bay,Private room,32,1,50,6.67,3,83
Manhattan,Upper West Side,Private room,123,3,55,4.09,1,53
Manhattan,Financial District,Entire home/apt,239,30,0,1.3732214298586618,121,186
Brooklyn,Sunset Park,Private room,120,7,0,1.3732214298586618,1,362
Manhattan,Inwood,Private room,75,2,5,0.66,1,0
Brooklyn,Greenpoint,Entire home/apt,200,7,20,0.24,1,365
Brooklyn,Crown Heights,Private room,55,30,0,1.3732214298586618,1,365
Manhattan,Washington Heights,Entire home/apt,75,1,81,5.73,1,171
Manhattan,Harlem,Private room,105,1,35,3.04,2,60
Brooklyn,Kensington,Entire home/apt,90,10,33,0.39,1,269
Brooklyn,Kensington,Entire home/apt,70,1,1,0.02,1,0
Manhattan,East Harlem,Entire home/apt,250,1,1,0.43,1,0
Manhattan,Murray Hill,Entire home/apt,120,5,0,1.3732214298586618,1,0
Brooklyn,Williamsburg,Entire home/apt,300,2,5,2.94,1,57
Manhattan,Kips Bay,Entire home/apt,260,4,15,0.35,1,34
Manhattan,Upper East Side,Private room,100,1,0,1.3732214298586618,2,0
Brooklyn,Williamsburg,Entire home/apt,180,7,0,1.3732214298586618,1,0
Manhattan,Murray Hill,Entire home/apt,250,1,0,1.3732214298586618,1,0
Bronx,Fordham,Private room,58,3,0,1.3732214298586618,10,75
Brooklyn,Bedford-Stuyvesant,Private room,42,7,0,1.3732214298586618,1,0
Manhattan,East Village,Entire home/apt,150,30,59,4.41,5,207
Manhattan,Little Italy,Private room,150,5,1,0.16,3,0
Manhattan,East Village,Private room,85,1,4,0.11,1,0
Manhattan,Chelsea,Private room,68,4,33,2.56,1,0
Manhattan,Chelsea,Private room,85,1,78,2.26,12,360
Manhattan,Hell's Kitchen,Entire home/apt,85,30,2,0.04,52,223
Manhattan,Harlem,Private room,100,3,147,3.55,1,66
Brooklyn,Williamsburg,Entire home/apt,94,2,0,1.3732214298586618,1,0
Manhattan,East Harlem,Private room,72,1,2,0.45,10,365
Manhattan,Upper East Side,Entire home/apt,200,6,4,0.34,1,5
Manhattan,Hell's Kitchen,Entire home/apt,700,2,0,1.3732214298586618,1,304
Manhattan,Hell's Kitchen,Entire home/apt,399,30,0,1.3732214298586618,121,365
Manhattan,Upper West Side,Entire home/apt,132,7,0,1.3732214298586618,1,0
Brooklyn,Clinton Hill,Entire home/apt,70,2,1,0.02,1,0
Brooklyn,Prospect Heights,Entire home/apt,140,5,2,0.31,2,25
Brooklyn,Bushwick,Private room,70,1,59,2.11,3,362
Manhattan,Lower East Side,Private room,125,2,28,3.39,2,255
Queens,Rego Park,Entire home/apt,40,7,53,0.94,1,10
Manhattan,Greenwich Village,Entire home/apt,225,3,0,1.3732214298586618,1,0
Manhattan,Upper West Side,Private room,200,5,20,0.33,1,0
Manhattan,Washington Heights,Entire home/apt,50,3,2,0.09,1,0
Brooklyn,Williamsburg,Private room,65,1,19,3.28,1,0
Manhattan,East Village,Entire home/apt,110,3,6,0.17,1,34
Manhattan,Financial District,Entire home/apt,150,3,7,0.13,1,0
Queens,Flushing,Private room,43,2,65,2.87,6,364
Brooklyn,Bushwick,Shared room,34,2,83,3.42,1,192
Brooklyn,Bushwick,Private room,50,5,14,0.88,2,0
Queens,Flushing,Entire home/apt,132,30,0,1.3732214298586618,1,342
Manhattan,Greenwich Village,Entire home/apt,180,2,4,0.16,1,0
Queens,Ditmars Steinway,Private room,47,1,90,4.13,2,100
Manhattan,East Village,Private room,100,1,24,1.79,2,91
Brooklyn,Park Slope,Entire home/apt,125,3,2,0.1,1,0
Manhattan,Midtown,Entire home/apt,175,7,0,1.3732214298586618,1,0
Manhattan,Upper West Side,Entire home/apt,150,6,1,0.02,1,0
Manhattan,Theater District,Entire home/apt,410,30,0,1.3732214298586618,65,365
Manhattan,Midtown,Private room,150,2,0,1.3732214298586618,1,0
Brooklyn,Williamsburg,Private room,60,1,13,0.39,1,0
Brooklyn,Crown Heights,Private room,65,1,6,0.17,1,0
Manhattan,Upper East Side,Entire home/apt,125,5,54,0.9,2,274
Brooklyn,Bedford-Stuyvesant,Private room,50,30,1,0.03,2,253
Brooklyn,Bedford-Stuyvesant,Private room,60,4,0,1.3732214298586618,1,0
Brooklyn,Bedford-Stuyvesant,Entire home/apt,100,2,15,6.52,1,37
Manhattan,Marble Hill,Private room,40,3,0,1.3732214298586618,3,308
Brooklyn,Bensonhurst,Entire home/apt,115,4,6,0.08,1,0
Brooklyn,East Flatbush,Entire home/apt,100,5,83,2.5,1,31
Manhattan,East Village,Entire home/apt,175,5,1,1.0,1,8
Queens,Long Island City,Entire home/apt,275,7,0,1.3732214298586618,1,0
Manhattan,Little Italy,Entire home/apt,135,2,21,0.2,1,0
Queens,Springfield Gardens,Entire home/apt,160,3,29,0.59,3,179
Brooklyn,Brooklyn Heights,Entire home/apt,125,8,1,0.1,1,207
Manhattan,Gramercy,Entire home/apt,156,3,4,0.08,1,0
Manhattan,Financial District,Private room,99,4,11,0.18,2,365
Brooklyn,Gowanus,Private room,75,4,7,0.23,1,253
Brooklyn,Bedford-Stuyvesant,Entire home/apt,165,2,53,1.24,3,289
Manhattan,Theater District,Entire home/apt,185,3,5,0.22,1,0
Manhattan,Financial District,Entire home/apt,472,2,8,3.43,327,262
Manhattan,Upper East Side,Entire home/apt,260,6,2,0.25,1,0
Manhattan,Harlem,Private room,65,1,60,3.08,1,101
Queens,Ditmars Steinway,Private room,60,2,0,1.3732214298586618,2,0
Brooklyn,Crown Heights,Entire home/apt,295,3,3,3.0,1,356
Manhattan,Harlem,Entire home/apt,275,2,1,0.46,3,351
Brooklyn,Bedford-Stuyvesant,Entire home/apt,82,2,80,2.76,1,28
Brooklyn,Williamsburg,Private room,85,4,4,0.08,1,0
Manhattan,Upper East Side,Entire home/apt,265,1,0,1.3732214298586618,1,0
Queens,Ditmars Steinway,Entire home/apt,70,4,2,0.04,1,0
Queens,Maspeth,Entire home/apt,96,30,17,0.47,2,325
Queens,Sunnyside,Private room,55,1,1,0.81,3,302
Manhattan,Upper East Side,Entire home/apt,180,6,5,0.21,1,0
Manhattan,Roosevelt Island,Private room,94,5,1,1.0,2,61
Queens,Sunnyside,Entire home/apt,99,1,0,1.3732214298586618,1,0
Queens,Arverne,Private room,60,1,5,0.16,2,158
Manhattan,Upper East Side,Entire home/apt,150,1,3,0.1,1,0
Queens,Jamaica,Private room,53,1,392,13.15,1,71
Queens,East Elmhurst,Private room,80,1,86,6.35,1,147
Brooklyn,Crown Heights,Entire home/apt,85,2,14,0.28,2,0
Manhattan,Upper East Side,Entire home/apt,117,30,6,0.11,29,255
Brooklyn,Bushwick,Private room,75,3,5,0.12,1,365
Manhattan,Washington Heights,Private room,85,15,36,0.33,1,307
Manhattan,Chelsea,Entire home/apt,125,9,10,0.11,1,0
Manhattan,Upper West Side,Private room,70,3,13,0.52,1,0
Queens,Jamaica Estates,Private room,35,2,30,3.35,1,233
Brooklyn,Borough Park,Private room,50,3,1,0.08,4,89
Brooklyn,Crown Heights,Private room,50,3,1,0.06,2,0
Brooklyn,Williamsburg,Entire home/apt,200,4,33,0.58,1,1
Brooklyn,Crown Heights,Entire home/apt,205,3,84,1.85,1,172
Manhattan,Harlem,Private room,70,2,5,1.65,1,1
Brooklyn,Fort Greene,Entire home/apt,145,30,0,1.3732214298586618,1,29
Manhattan,Hell's Kitchen,Entire home/apt,471,3,1,0.42,1,188
Manhattan,Lower East Side,Shared room,32,14,5,0.76,28,341
Manhattan,Chelsea,Entire home/apt,365,6,7,0.26,1,0
Brooklyn,Bedford-Stuyvesant,Private room,105,1,24,0.69,1,0
Brooklyn,Fort Greene,Private room,61,60,2,0.09,2,43
Manhattan,Financial District,Entire home/apt,229,30,0,1.3732214298586618,121,184
Manhattan,Chelsea,Private room,100,1,22,9.85,9,319
Brooklyn,Bedford-Stuyvesant,Private room,206,1,1,0.05,2,365
Manhattan,Chelsea,Entire home/apt,170,4,1,0.02,1,0
Brooklyn,Bedford-Stuyvesant,Entire home/apt,150,1,109,8.93,3,241
Manhattan,Financial District,Entire home/apt,150,2,52,1.11,1,72
Brooklyn,Bedford-Stuyvesant,Private room,50,10,6,0.33,2,5
Brooklyn,Borough Park,Private room,49,3,0,1.3732214298586618,4,180
Manhattan,Midtown,Entire home/apt,180,1,7,7.0,1,249
Brooklyn,Greenpoint,Private room,95,2,1,1.0,1,67
Queens,Ozone Park,Entire home/apt,150,4,38,2.66,4,51
Brooklyn,Bedford-Stuyvesant,Private room,50,2,6,1.15,5,125
Brooklyn,Prospect Heights,Entire home/apt,145,3,18,0.37,1,0
Manhattan,Midtown,Entire home/apt,160,30,7,0.4,5,71
Manhattan,Upper East Side,Entire home/apt,400,2,1,0.08,1,0
Brooklyn,Bedford-Stuyvesant,Private room,42,30,0,1.3732214298586618,27,331
Manhattan,Tribeca,Entire home/apt,240,3,60,0.91,1,348
Manhattan,Kips Bay,Entire home/apt,220,5,1,0.05,1,0
Queens,Ridgewood,Private room,40,2,1,0.09,1,0
Brooklyn,Sheepshead Bay,Private room,50,1,6,6.0,3,83
Manhattan,East Village,Entire home/apt,130,7,2,0.04,1,0
Manhattan,Hell's Kitchen,Entire home/apt,379,3,0,1.3732214298586618,1,333
Manhattan,Upper East Side,Entire home/apt,135,3,4,0.09,1,0
Brooklyn,Bedford-Stuyvesant,Private room,54,5,12,0.4,1,21
Brooklyn,Bedford-Stuyvesant,Entire home/apt,60,4,5,0.28,1,0
Manhattan,Lower East Side,Private room,95,1,13,0.32,2,0
Brooklyn,Williamsburg,Private room,100,1,18,1.36,2,33
Manhattan,West Village,Entire home/apt,700,5,1,0.01,1,365
Manhattan,Harlem,Private room,63,1,6,0.13,1,0
Brooklyn,Flatbush,Entire home/apt,70,4,26,0.39,1,81
Brooklyn,Williamsburg,Entire home/apt,125,15,1,0.16,1,285
Queens,Ditmars Steinway,Private room,65,1,20,2.23,3,20
Brooklyn,Crown Heights,Entire home/apt,133,2,7,1.24,1,41
Manhattan,Chelsea,Private room,219,1,0,1.3732214298586618,20,365
Manhattan,Washington Heights,Entire home/apt,95,7,0,1.3732214298586618,1,0
Queens,Queens Village,Entire home/apt,45,3,27,3.65,1,304
Manhattan,Greenwich Village,Entire home/apt,230,1,2,0.57,1,83
Bronx,Belmont,Private room,55,1,0,1.3732214298586618,1,236
Manhattan,Morningside Heights,Private room,50,7,2,0.05,1,0
Queens,Elmhurst,Private room,45,3,12,0.37,2,201
Manhattan,Upper West Side,Entire home/apt,125,30,2,0.18,1,67
Brooklyn,Midwood,Entire home/apt,140,2,19,1.23,1,165
Manhattan,Harlem,Entire home/apt,165,2,70,0.8,4,15
Brooklyn,South Slope,Entire home/apt,210,2,35,3.11,1,190
Manhattan,Midtown,Private room,350,1,0,1.3732214298586618,10,361
Manhattan,Financial District,Entire home/apt,262,30,0,1.3732214298586618,232,325
Brooklyn,Williamsburg,Entire home/apt,150,6,0,1.3732214298586618,1,0
Manhattan,Midtown,Entire home/apt,380,4,0,1.3732214298586618,1,0
Brooklyn,Bay Ridge,Private room,85,365,1,0.14,4,189
Queens,Woodside,Private room,49,30,0,1.3732214298586618,103,247
Manhattan,Midtown,Entire home/apt,714,28,0,1.3732214298586618,49,257
Queens,Ridgewood,Private room,100,2,48,1.96,2,174
Manhattan,Upper East Side,Private room,100,1,51,2.11,1,172
Manhattan,Stuyvesant Town,Private room,70,1,0,1.3732214298586618,1,270
Brooklyn,Bedford-Stuyvesant,Entire home/apt,60,14,0,1.3732214298586618,1,59
Brooklyn,Williamsburg,Private room,80,1,1,0.03,1,0
Brooklyn,Bushwick,Private room,45,5,1,0.08,1,0
Brooklyn,Sunset Park,Private room,50,2,14,1.22,1,0
Manhattan,Harlem,Private room,85,1,3,0.07,1,0
Brooklyn,Bushwick,Private room,47,15,5,0.06,1,0
Brooklyn,Gowanus,Entire home/apt,299,3,13,0.56,1,346
Manhattan,Midtown,Private room,233,2,0,1.3732214298586618,11,163
Queens,Flushing,Private room,55,1,474,5.53,3,332
Brooklyn,East Flatbush,Entire home/apt,71,6,46,1.25,1,69
Brooklyn,Park Slope,Entire home/apt,100,28,75,2.1,1,0
Manhattan,Upper East Side,Private room,100,3,28,0.55,2,364
Manhattan,Harlem,Entire home/apt,130,2,18,0.42,1,0
Manhattan,Upper West Side,Entire home/apt,210,2,11,0.32,1,242
Manhattan,Midtown,Entire home/apt,199,4,1,0.02,1,0
Brooklyn,Kensington,Private room,65,1,74,1.26,2,21
Manhattan,SoHo,Entire home/apt,180,4,0,1.3732214298586618,1,5
Manhattan,Kips Bay,Entire home/apt,129,2,75,3.32,1,29
Brooklyn,Crown Heights,Entire home/apt,575,3,33,1.12,4,259
Manhattan,Greenwich Village,Entire home/apt,495,6,12,0.84,4,52
Queens,Astoria,Private room,90,5,1,0.11,1,69
Manhattan,Theater District,Entire home/apt,850,1,24,3.51,3,269
Brooklyn,Sunset Park,Private room,47,3,2,0.04,1,0
Brooklyn,Flatbush,Entire home/apt,160,2,18,0.52,1,0
Manhattan,Lower East Side,Entire home/apt,200,2,4,1.54,1,3
Brooklyn,Cypress Hills,Entire home/apt,100,2,11,5.69,1,179
Manhattan,Financial District,Entire home/apt,388,2,9,2.35,327,262
Manhattan,Washington Heights,Entire home/apt,350,3,0,1.3732214298586618,3,0
Brooklyn,Bedford-Stuyvesant,Private room,81,2,9,3.91,6,128
Manhattan,Washington Heights,Private room,250,3,11,0.24,1,345
Manhattan,Midtown,Private room,90,1,42,5.68,1,45
Manhattan,Upper West Side,Entire home/apt,189,1,7,0.13,1,0
Brooklyn,Williamsburg,Entire home/apt,500,1,0,1.3732214298586618,1,365
Brooklyn,Williamsburg,Private room,110,3,3,0.12,3,179
Manhattan,Upper East Side,Entire home/apt,140,3,5,2.46,1,18
Brooklyn,East New York,Entire home/apt,100,2,4,4.0,1,96
Queens,Flushing,Private room,49,1,25,2.12,5,46
Manhattan,Lower East Side,Private room,99,2,10,0.38,1,0
Brooklyn,Bedford-Stuyvesant,Private room,35,1,1,0.02,1,0
Manhattan,Lower East Side,Private room,80,14,0,1.3732214298586618,1,0
Manhattan,Nolita,Private room,115,1,28,1.16,1,0
Manhattan,Upper West Side,Private room,75,5,2,0.09,1,0
Brooklyn,Bushwick,Private room,60,1,1,0.04,1,0
Manhattan,Upper West Side,Private room,60,30,0,1.3732214298586618,32,317
Manhattan,Upper East Side,Entire home/apt,180,4,9,0.71,1,4
Manhattan,Chelsea,Private room,75,4,0,1.3732214298586618,1,0
Queens,Elmhurst,Private room,30,1,24,2.32,1,0
Manhattan,Upper East Side,Entire home/apt,350,1,0,1.3732214298586618,1,0
Manhattan,East Harlem,Private room,65,4,8,0.64,4,0
Manhattan,Upper West Side,Entire home/apt,120,5,49,0.56,1,201
Manhattan,Harlem,Entire home/apt,170,1,0,1.3732214298586618,4,78
Brooklyn,Prospect-Lefferts Gardens,Private room,82,3,62,0.8,1,247
Manhattan,East Village,Entire home/apt,150,5,22,0.41,1,6
Queens,Astoria,Private room,60,2,40,1.46,1,67
Staten Island,Randall Manor,Private room,50,10,2,0.14,1,191
Brooklyn,Flatbush,Private room,40,10,0,1.3732214298586618,1,0
Manhattan,East Village,Entire home/apt,150,1,108,7.55,4,201
Queens,Woodside,Private room,75,1,37,2.09,3,344
Brooklyn,Bedford-Stuyvesant,Entire home/apt,110,2,3,0.23,1,0
Queens,Ridgewood,Private room,42,30,0,1.3732214298586618,23,332
Brooklyn,Williamsburg,Private room,65,2,2,0.07,1,0
Manhattan,Upper East Side,Entire home/apt,142,30,2,0.15,29,319
Brooklyn,South Slope,Private room,45,3,7,0.16,2,0
Manhattan,Lower East Side,Entire home/apt,200,4,25,1.12,1,352
Brooklyn,Crown Heights,Private room,54,2,53,2.3,1,8
Queens,Ditmars Steinway,Entire home/apt,75,4,1,0.03,1,0
Brooklyn,Prospect-Lefferts Gardens,Private room,55,3,0,1.3732214298586618,1,0
Manhattan,Harlem,Entire home/apt,165,7,2,0.17,2,105
Brooklyn,Williamsburg,Entire home/apt,173,2,51,3.55,2,127
Brooklyn,Bushwick,Entire home/apt,125,3,27,2.77,1,41
Manhattan,Harlem,Private room,159,3,0,1.3732214298586618,1,87
Manhattan,Upper West Side,Entire home/apt,95,1,0,1.3732214298586618,1,0
Brooklyn,Crown Heights,Entire home/apt,120,6,0,1.3732214298586618,1,5
Brooklyn,Williamsburg,Private room,90,2,1,0.02,1,0
Manhattan,Theater District,Private room,62,1,7,0.87,1,9
Manhattan,Upper East Side,Entire home/apt,219,4,102,1.15,2,280
Bronx,Tremont,Shared room,25,2,5,1.6,1,146
Brooklyn,Williamsburg,Private room,500,3,1,0.14,1,180
Brooklyn,Fort Greene,Private room,79,7,1,0.02,1,0
Queens,Astoria,Private room,38,30,7,0.19,1,137
Manhattan,Gramercy,Private room,45,30,2,0.04,1,0
Brooklyn,Carroll Gardens,Private room,150,4,0,1.3732214298586618,2,257
Brooklyn,Bushwick,Private room,50,3,2,0.06,1,0
Brooklyn,Bushwick,Private room,75,2,53,1.23,1,340
Brooklyn,Greenpoint,Entire home/apt,315,2,0,1.3732214298586618,2,364
Brooklyn,Bushwick,Private room,71,5,19,1.29,7,140
Brooklyn,Bushwick,Private room,79,2,57,1.52,2,127
Brooklyn,Williamsburg,Entire home/apt,99,30,0,1.3732214298586618,1,0
Manhattan,Harlem,Private room,92,2,44,5.57,3,51
Brooklyn,Bedford-Stuyvesant,Entire home/apt,135,3,8,0.14,1,0
Manhattan,Chinatown,Private room,65,3,3,0.17,3,0
Manhattan,Harlem,Private room,150,1,1,0.03,1,87
Manhattan,Upper West Side,Private room,100,3,0,1.3732214298586618,1,0
Manhattan,East Village,Entire home/apt,250,2,1,0.02,1,0
Manhattan,Harlem,Private room,100,3,0,1.3732214298586618,2,0
Brooklyn,Prospect Heights,Entire home/apt,90,7,6,0.08,1,0
Manhattan,SoHo,Entire home/apt,290,2,69,1.73,1,99
Manhattan,East Village,Entire home/apt,118,3,141,1.66,1,13
Manhattan,Lower East Side,Entire home/apt,190,3,9,0.28,1,188
Queens,Woodside,Entire home/apt,105,2,216,3.54,1,70
Manhattan,West Village,Entire home/apt,195,2,10,1.16,1,3
Brooklyn,Bedford-Stuyvesant,Private room,66,1,0,1.3732214298586618,1,0
Brooklyn,Park Slope,Entire home/apt,150,14,0,1.3732214298586618,1,0
Bronx,Mott Haven,Private room,42,5,7,1.08,4,321
Manhattan,Greenwich Village,Entire home/apt,220,5,7,0.33,1,0
Manhattan,Harlem,Private room,110,30,3,0.33,1,90
Manhattan,Upper West Side,Private room,175,4,3,0.11,1,0
Queens,Sunnyside,Private room,33,1,7,1.11,2,0
Brooklyn,Bedford-Stuyvesant,Entire home/apt,110,1,3,0.06,1,0
Brooklyn,Fort Greene,Entire home/apt,150,3,1,1.0,2,107
Manhattan,Murray Hill,Entire home/apt,300,30,0,1.3732214298586618,23,349
Manhattan,Harlem,Private room,57,2,57,5.9,2,13
Manhattan,Harlem,Private room,50,7,0,1.3732214298586618,1,0
Brooklyn,Williamsburg,Private room,80,3,35,0.85,2,0
Brooklyn,Crown Heights,Entire home/apt,275,2,2,2.0,1,356
Brooklyn,Bedford-Stuyvesant,Shared room,30,2,18,2.57,4,192
Brooklyn,Bedford-Stuyvesant,Private room,49,7,0,1.3732214298586618,1,0
Brooklyn,Boerum Hill,Entire home/apt,160,2,127,3.9,1,270
Manhattan,Chelsea,Private room,70,1,2,0.06,1,0
Brooklyn,Fort Greene,Entire home/apt,250,4,134,1.95,1,222
Manhattan,Hell's Kitchen,Entire home/apt,350,1,96,3.63,1,253
Manhattan,Gramercy,Entire home/apt,120,1,206,4.64,1,278
Brooklyn,Flatbush,Private room,70,2,0,1.3732214298586618,1,0
Manhattan,East Village,Entire home/apt,225,2,2,0.04,1,0
Brooklyn,Bushwick,Entire home/apt,195,1,0,1.3732214298586618,1,0
Queens,Long Island City,Entire home/apt,200,3,0,1.3732214298586618,1,0
Manhattan,Harlem,Entire home/apt,131,3,10,0.27,1,12
Brooklyn,Bushwick,Private room,65,1,8,3.87,1,3
Manhattan,Harlem,Private room,80,45,1,0.05,1,0
Brooklyn,Park Slope,Entire home/apt,345,30,0,1.3732214298586618,1,156
Manhattan,East Harlem,Entire home/apt,115,3,86,2.99,2,85
Manhattan,West Village,Entire home/apt,500,2,3,1.55,1,5
Manhattan,Upper West Side,Private room,85,3,6,0.15,1,193
Manhattan,Hell's Kitchen,Entire home/apt,230,3,13,0.46,1,260
Brooklyn,Greenpoint,Entire home/apt,150,2,115,4.26,2,32
Manhattan,Chelsea,Private room,255,4,1,0.02,1,365
Manhattan,Chinatown,Entire home/apt,125,2,11,0.27,1,0
Manhattan,Little Italy,Entire home/apt,189,1,168,3.71,1,347
Manhattan,Financial District,Entire home/apt,170,30,0,1.3732214298586618,6,221
Brooklyn,Williamsburg,Private room,102,1,56,6.8,2,14
Brooklyn,Fort Greene,Entire home/apt,200,2,0,1.3732214298586618,1,0
Manhattan,Harlem,Entire home/apt,220,3,56,2.01,1,256
Manhattan,East Harlem,Entire home/apt,90,3,51,0.57,1,311
Brooklyn,Flatbush,Private room,45,4,24,2.44,1,4
Brooklyn,Bushwick,Private room,100,3,2,0.08,1,84
Brooklyn,Brooklyn Heights,Private room,110,2,1,0.02,1,189
Brooklyn,East Flatbush,Entire home/apt,55,1,47,1.03,1,348
Manhattan,Upper West Side,Entire home/apt,135,5,28,0.8,1,24
Queens,Jamaica,Private room,55,5,29,0.64,1,314
Manhattan,Upper West Side,Private room,230,1,2,0.74,10,252
Brooklyn,Carroll Gardens,Entire home/apt,115,3,27,0.58,1,166
Brooklyn,Park Slope,Entire home/apt,150,5,52,0.5,1,18
Manhattan,Upper West Side,Private room,60,3,4,0.15,1,16
Brooklyn,Park Slope,Entire home/apt,200,4,12,0.25,1,5
Brooklyn,Bushwick,Private room,74,21,2,0.12,1,0
Queens,Jackson Heights,Shared room,75,2,0,1.3732214298586618,1,0
Manhattan,Harlem,Entire home/apt,124,5,124,1.93,2,279
Manhattan,Midtown,Entire home/apt,675,28,4,0.63,49,253
Queens,Astoria,Shared room,42,1,54,3.48,4,66
Manhattan,West Village,Entire home/apt,195,3,5,0.14,1,0
Queens,Jackson Heights,Shared room,28,1,0,1.3732214298586618,2,341
Brooklyn,Williamsburg,Entire home/apt,129,1,28,5.22,1,93
Queens,Long Island City,Private room,70,3,137,2.84,1,8
Brooklyn,Bay Ridge,Private room,60,2,9,1.16,2,31
Manhattan,East Harlem,Private room,150,3,18,0.25,1,0
Brooklyn,Flatbush,Private room,42,5,1,0.07,1,0
Brooklyn,Williamsburg,Private room,75,3,54,2.24,2,96
Brooklyn,Bedford-Stuyvesant,Private room,65,3,17,2.26,3,365
Manhattan,Upper East Side,Entire home/apt,150,2,28,2.25,1,0
Brooklyn,Crown Heights,Private room,35,7,1,0.03,3,157
Manhattan,Harlem,Private room,67,4,1,0.03,1,0
Staten Island,West Brighton,Entire home/apt,99,2,3,0.36,1,364
Brooklyn,Bedford-Stuyvesant,Entire home/apt,125,2,5,0.14,1,0
Brooklyn,Bushwick,Private room,44,2,2,0.08,1,0
Brooklyn,Williamsburg,Entire home/apt,125,5,1,0.16,1,0
Queens,Woodhaven,Entire home/apt,50,4,1,0.06,1,0
Manhattan,East Harlem,Entire home/apt,185,1,81,3.98,1,65
Manhattan,Financial District,Entire home/apt,248,2,17,4.08,327,271
Brooklyn,Williamsburg,Private room,90,2,73,2.31,1,338
Brooklyn,East Flatbush,Private room,35,1,7,1.47,3,365
Manhattan,Inwood,Private room,45,1,12,1.37,1,0
Brooklyn,Bushwick,Private room,90,1,8,0.55,2,295
Brooklyn,Crown Heights,Shared room,26,15,2,0.59,2,23
Queens,Breezy Point,Private room,195,1,4,0.35,2,160
Brooklyn,South Slope,Entire home/apt,285,5,29,3.57,1,74
Manhattan,Little Italy,Entire home/apt,90,31,9,0.24,5,221
Queens,Arverne,Entire home/apt,95,1,6,2.2,1,35
Queens,Rockaway Beach,Private room,85,2,15,0.38,1,330
Queens,Flushing,Entire home/apt,460,1,49,2.55,4,160
Brooklyn,Gowanus,Private room,80,2,18,0.52,1,189
Manhattan,Chelsea,Entire home/apt,300,1,2,0.05,1,0
Brooklyn,Bedford-Stuyvesant,Entire home/apt,85,2,10,0.21,1,0
Manhattan,Harlem,Private room,84,2,3,0.07,1,0
Brooklyn,Williamsburg,Private room,60,2,6,0.45,1,0
