neighbourhood_group,room_type,price,minimum_nights,number_of_reviews,reviews_per_month,calculated_host_listings_count,availability_365
Brooklyn,Entire home/apt,200.0,4.0,15.0,0.32,1.0,5.0
Brooklyn,Entire home/apt,175.0,5.0,5.0,0.1,1.0,2.0
Manhattan,Private room,50.0,2.0,58.0,0.96,2.0,3.0
Manhattan,Private room,110.0,2.0,37.0,0.6,1.0,1.0
Manhattan,Entire home/apt,150.0,30.0,2.0,0.03,52.0,4.0
Manhattan,Entire home/apt,93.0,365.0,10.0,0.17,19.0,2.0
Staten Island,Entire home/apt,175.0,3.0,22.0,0.4,1.0,5.0
Brooklyn,Entire home/apt,155.0,25.0,3.0,0.05,1.0,5.0
Brooklyn,Entire home/apt,129.0,30.0,4.0,0.08,52.0,0.0
Bronx,Private room,50.0,1.0,21.0,0.36,3.0,4.0
Brooklyn,Entire home/apt,499.0,7.0,2.0,0.03,1.0,4.0
Brooklyn,Shared room,80.0,1.0,7.0,0.15,1.0,2.0
Manhattan,Entire home/apt,115.0,30.0,0.0,1.3732214298586618,52.0,4.0
Manhattan,Entire home/apt,249.0,1.0,150.0,2.52,1.0,2.0
Manhattan,Entire home/apt,150.0,30.0,2.0,0.04,52.0,5.0
Manhattan,Private room,77.0,3.0,139.0,2.29,1.0,4.0
Brooklyn,Private room,70.0,14.0,16.0,0.61,1.0,5.0
Manhattan,Entire home/apt,100.0,30.0,6.0,0.11,52.0,2.0
Manhattan,Entire home/apt,87.0,30.0,6.0,0.1,52.0,5.0
Manhattan,Entire home/apt,300.0,3.0,92.0,1.53,1.0,0.0
Manhattan,Private room,40.0,31.0,2.0,0.15,6.0,5.0
Manhattan,Private room,115.0,2.0,9.0,0.29,1.0,0.0
Manhattan,Entire home/apt,93.0,75.0,16.0,0.3,19.0,4.0
Queens,Private room,70.0,3.0,145.0,2.33,1.0,5.0
Brooklyn,Entire home/apt,149.0,30.0,5.0,0.1,52.0,5.0
Brooklyn,Private room,100.0,21.0,10.0,0.17,2.0,5.0
Manhattan,Entire home/apt,220.0,8.0,5.0,0.08,1.0,2.0
Manhattan,Entire home/apt,103.0,30.0,12.0,0.2,29.0,2.0
Manhattan,Entire home/apt,108.0,30.0,7.0,0.14,29.0,5.0
Manhattan,Private room,75.0,3.0,5.0,0.1,3.0,3.0
Brooklyn,Entire home/apt,152.0,2.0,3.0,0.1,1.0,4.0
Manhattan,Entire home/apt,150.0,1.0,32.0,0.51,1.0,5.0
Manhattan,Entire home/apt,320.0,3.0,168.0,2.7,1.0,4.0
Brooklyn,Entire home/apt,99.0,2.0,190.0,3.67,3.0,5.0
Manhattan,Entire home/apt,950.0,3.0,42.0,0.69,2.0,5.0
Brooklyn,Entire home/apt,199.0,4.0,4.0,0.11,1.0,3.0
Manhattan,Private room,100.0,1.0,257.0,4.2,1.0,5.0
Brooklyn,Private room,75.0,1.0,52.0,1.29,2.0,2.0
Manhattan,Entire home/apt,84.0,30.0,7.0,0.12,52.0,4.0
Brooklyn,Private room,75.0,3.0,85.0,1.41,4.0,0.0
Brooklyn,Private room,93.0,6.0,108.0,1.73,1.0,5.0
Brooklyn,Entire home/apt,140.0,4.0,64.0,1.38,2.0,2.0
Brooklyn,Entire home/apt,200.0,30.0,38.0,0.63,2.0,4.0
Brooklyn,Entire home/apt,200.0,2.0,2.0,0.03,1.0,5.0
Manhattan,Private room,100.0,250.0,91.0,1.47,1.0,2.0
Manhattan,Entire home/apt,120.0,7.0,100.0,1.61,1.0,3.0
Brooklyn,Private room,126.0,2.0,15.0,0.8,2.0,3.0
Manhattan,Private room,50.0,2.0,2.0,0.04,1.0,4.0
Manhattan,Entire home/apt,124.0,28.0,13.0,0.21,1.0,0.0
Queens,Private room,59.0,3.0,35.0,0.61,1.0,3.0
Manhattan,Private room,240.0,2.0,8.0,0.13,2.0,3.0
Manhattan,Private room,150.0,1.0,2.0,0.19,2.0,0.0
Manhattan,Shared room,200.0,1.0,8.0,0.13,1.0,5.0
Manhattan,Entire home/apt,87.0,30.0,8.0,0.2,52.0,2.0
Manhattan,Entire home/apt,250.0,5.0,22.0,0.36,1.0,3.0
Brooklyn,Entire home/apt,162.0,2.0,123.0,3.47,1.0,5.0
Manhattan,Private room,147.0,1.0,25.0,0.51,2.0,3.0
Brooklyn,Entire home/apt,149.0,2.0,225.0,3.7,1.0,5.0
Brooklyn,Private room,160.0,2.0,156.0,2.54,2.0,0.0
Manhattan,Private room,199.0,1.0,0.0,1.3732214298586618,1.0,0.0
Brooklyn,Private room,64.0,3.0,47.0,0.77,1.0,4.0
Brooklyn,Private room,33.0,2.0,182.0,3.62,2.0,1.0
Manhattan,Private room,500.0,1.0,3.0,0.05,3.0,4.0
Brooklyn,Entire home/apt,150.0,3.0,55.0,0.94,1.0,3.0
Brooklyn,Entire home/apt,145.0,2.0,119.0,1.96,2.0,5.0
Brooklyn,Entire home/apt,500.0,1.0,28.0,0.71,2.0,4.0
Staten Island,Entire home/apt,195.0,3.0,105.0,1.73,1.0,4.0
Brooklyn,Entire home/apt,105.0,21.0,5.0,0.08,1.0,5.0
Brooklyn,Entire home/apt,67.0,30.0,10.0,0.16,1.0,2.0
Brooklyn,Entire home/apt,125.0,7.0,56.0,0.93,1.0,5.0
Queens,Entire home/apt,200.0,5.0,22.0,0.37,1.0,3.0
Brooklyn,Entire home/apt,270.0,3.0,6.0,0.16,1.0,3.0
Brooklyn,Entire home/apt,275.0,4.0,19.0,0.32,1.0,2.0
Brooklyn,Private room,85.0,2.0,23.0,0.45,3.0,4.0
Brooklyn,Entire home/apt,170.0,7.0,20.0,0.33,1.0,5.0
Brooklyn,Private room,70.0,3.0,69.0,1.13,1.0,5.0
Brooklyn,Private room,125.0,2.0,36.0,0.6,1.0,2.0
Manhattan,Entire home/apt,275.0,3.0,63.0,1.02,1.0,5.0
Brooklyn,Private room,120.0,2.0,8.0,2.2,2.0,0.0
Queens,Entire home/apt,119.0,2.0,217.0,3.67,1.0,4.0
Brooklyn,Entire home/apt,155.0,3.0,44.0,0.71,5.0,5.0
Manhattan,Private room,70.0,3.0,16.0,0.26,1.0,4.0
Bronx,Entire home/apt,95.0,3.0,58.0,0.96,4.0,4.0
Brooklyn,Entire home/apt,450.0,2.0,12.0,0.2,1.0,1.0
Brooklyn,Entire home/apt,215.0,5.0,28.0,0.53,1.0,3.0
Bronx,Private room,75.0,5.0,35.0,0.67,1.0,2.0
Brooklyn,Private room,99.0,3.0,22.0,0.36,2.0,5.0
Brooklyn,Entire home/apt,300.0,2.0,85.0,1.81,2.0,2.0
Manhattan,Entire home/apt,175.0,2.0,142.0,2.39,2.0,2.0
Queens,Private room,50.0,7.0,2.0,0.15,1.0,5.0
Brooklyn,Entire home/apt,120.0,5.0,175.0,2.86,2.0,4.0
Manhattan,Entire home/apt,345.0,3.0,141.0,2.34,1.0,2.0
Brooklyn,Entire home/apt,225.0,3.0,76.0,1.24,3.0,4.0
Brooklyn,Entire home/apt,151.0,28.0,12.0,0.3,1.0,5.0
Brooklyn,Entire home/apt,110.0,1.0,189.0,3.06,4.0,3.0
Brooklyn,Private room,99.0,1.0,75.0,1.28,1.0,4.0
Manhattan,Entire home/apt,120.0,3.0,214.0,3.47,1.0,4.0
Manhattan,Private room,89.0,3.0,231.0,3.72,2.0,4.0
Brooklyn,Private room,120.0,3.0,1.0,0.02,1.0,2.0
Manhattan,Private room,85.0,5.0,142.0,2.3,1.0,0.0
Manhattan,Private room,125.0,7.0,17.0,0.29,3.0,1.0
Manhattan,Shared room,45.0,2.0,136.0,2.22,1.0,3.0
Manhattan,Private room,62.0,3.0,37.0,0.61,1.0,5.0
Brooklyn,Entire home/apt,330.0,2.0,122.0,1.98,2.0,0.0
Manhattan,Private room,125.0,6.0,3.0,0.05,1.0,4.0
Brooklyn,Entire home/apt,165.0,2.0,172.0,3.1,1.0,4.0
Brooklyn,Entire home/apt,120.0,3.0,8.0,0.13,1.0,0.0
Brooklyn,Private room,55.0,1.0,47.0,0.79,1.0,3.0
Manhattan,Entire home/apt,200.0,30.0,0.0,1.3732214298586618,1.0,3.0
Brooklyn,Entire home/apt,55.0,1.0,115.0,1.91,4.0,5.0
Brooklyn,Entire home/apt,400.0,6.0,34.0,0.56,1.0,5.0
Manhattan,Private room,52.0,7.0,17.0,0.28,8.0,4.0
Brooklyn,Entire home/apt,88.0,30.0,2.0,0.09,1.0,4.0
Brooklyn,Entire home/apt,425.0,6.0,5.0,0.08,1.0,5.0
Brooklyn,Private room,105.0,14.0,26.0,0.42,1.0,5.0
Manhattan,Private room,60.0,2.0,15.0,0.25,3.0,4.0
Manhattan,Entire home/apt,200.0,4.0,102.0,1.7,1.0,1.0
Manhattan,Private room,80.0,1.0,134.0,4.36,1.0,2.0
Brooklyn,Entire home/apt,125.0,1.0,154.0,3.05,2.0,5.0
Brooklyn,Private room,65.0,2.0,152.0,2.5,2.0,4.0
Brooklyn,Entire home/apt,158.0,30.0,1.0,0.14,21.0,0.0
Brooklyn,Private room,89.0,3.0,73.0,1.19,1.0,5.0
Manhattan,Entire home/apt,16.0,2.0,21.0,1.69,1.0,5.0
Brooklyn,Entire home/apt,300.0,1.0,32.0,0.52,2.0,3.0
Manhattan,Entire home/apt,250.0,5.0,49.0,0.83,1.0,2.0
Manhattan,Private room,140.0,3.0,118.0,1.91,1.0,0.0
Manhattan,Private room,90.0,3.0,2.0,1.58,1.0,5.0
Queens,Private room,89.0,2.0,40.0,0.65,5.0,0.0
Brooklyn,Entire home/apt,90.0,4.0,22.0,0.37,1.0,2.0
Manhattan,Entire home/apt,200.0,4.0,48.0,0.82,1.0,5.0
Brooklyn,Entire home/apt,100.0,2.0,52.0,1.08,2.0,3.0
Brooklyn,Entire home/apt,68.0,30.0,14.0,0.41,5.0,4.0
Brooklyn,Private room,40.0,28.0,13.0,0.22,3.0,3.0
Manhattan,Entire home/apt,500.0,4.0,6.0,0.18,3.0,0.0
Brooklyn,Entire home/apt,250.0,3.0,16.0,0.27,2.0,5.0
Manhattan,Entire home/apt,288.0,7.0,14.0,0.23,1.0,3.0
Manhattan,Entire home/apt,166.0,14.0,18.0,0.3,1.0,5.0
Manhattan,Entire home/apt,330.0,4.0,11.0,0.18,1.0,5.0
Manhattan,Entire home/apt,165.0,3.0,159.0,2.71,1.0,5.0
Manhattan,Private room,155.0,2.0,14.0,0.23,1.0,4.0
Brooklyn,Entire home/apt,169.0,5.0,51.0,0.83,1.0,5.0
Brooklyn,Entire home/apt,139.0,2.0,124.0,2.09,1.0,3.0
Queens,Private room,70.0,3.0,25.0,0.41,1.0,2.0
Brooklyn,Private room,135.0,1.0,173.0,4.69,3.0,4.0
Manhattan,Entire home/apt,99.0,30.0,8.0,0.13,8.0,4.0
Manhattan,Entire home/apt,250.0,3.0,30.0,0.51,1.0,5.0
Brooklyn,Private room,100.0,30.0,5.0,0.08,2.0,0.0
Brooklyn,Entire home/apt,128.0,3.0,89.0,1.53,1.0,5.0
Brooklyn,Entire home/apt,121.0,12.0,8.0,0.13,2.0,5.0
Brooklyn,Entire home/apt,160.0,30.0,36.0,0.63,2.0,4.0
Manhattan,Private room,135.0,2.0,0.0,1.3732214298586618,2.0,4.0
Manhattan,Entire home/apt,275.0,5.0,30.0,0.5,1.0,3.0
Manhattan,Entire home/apt,189.0,2.0,138.0,2.86,1.0,4.0
Queens,Entire home/apt,250.0,5.0,0.0,1.3732214298586618,1.0,5.0
Brooklyn,Entire home/apt,99.0,2.0,148.0,2.46,1.0,2.0
Brooklyn,Entire home/apt,200.0,5.0,120.0,2.0,1.0,1.0
Manhattan,Entire home/apt,145.0,4.0,115.0,1.9,2.0,0.0
Manhattan,Private room,100.0,3.0,64.0,1.05,1.0,2.0
Brooklyn,Entire home/apt,220.0,2.0,55.0,0.91,1.0,4.0
Brooklyn,Private room,100.0,20.0,62.0,1.01,6.0,4.0
Queens,Private room,59.0,1.0,142.0,2.34,3.0,5.0
Brooklyn,Entire home/apt,78.0,30.0,81.0,1.33,3.0,5.0
Bronx,Entire home/apt,75.0,2.0,85.0,1.41,2.0,5.0
Brooklyn,Private room,78.0,3.0,86.0,1.43,1.0,4.0
Brooklyn,Private room,69.0,2.0,25.0,0.47,2.0,4.0
Brooklyn,Private room,65.0,1.0,0.0,1.3732214298586618,1.0,4.0
Manhattan,Entire home/apt,785.0,2.0,85.0,1.52,1.0,3.0
Queens,Entire home/apt,99.0,3.0,160.0,2.65,4.0,5.0
Queens,Private room,74.0,30.0,9.0,0.16,1.0,3.0
Queens,Entire home/apt,105.0,2.0,216.0,3.54,1.0,4.0
Manhattan,Private room,90.0,1.0,146.0,2.67,2.0,1.0
Brooklyn,Entire home/apt,92.0,5.0,192.0,3.14,2.0,3.0
Manhattan,Entire home/apt,185.0,29.0,5.0,0.08,1.0,4.0
Manhattan,Entire home/apt,160.0,4.0,11.0,0.18,1.0,4.0
Manhattan,Entire home/apt,93.0,110.0,12.0,0.26,19.0,4.0
Manhattan,Entire home/apt,300.0,30.0,13.0,0.24,39.0,5.0
Manhattan,Entire home/apt,370.0,1.0,8.0,0.13,1.0,3.0
Brooklyn,Entire home/apt,200.0,30.0,4.0,0.18,11.0,0.0
Manhattan,Private room,125.0,2.0,55.0,0.89,1.0,4.0
Brooklyn,Private room,46.0,2.0,55.0,1.24,1.0,5.0
Brooklyn,Entire home/apt,150.0,5.0,37.0,0.76,1.0,4.0
Manhattan,Private room,80.0,1.0,1.0,0.67,1.0,4.0
Brooklyn,Entire home/apt,300.0,5.0,8.0,0.13,2.0,1.0
Brooklyn,Private room,110.0,2.0,1.0,0.02,1.0,5.0
Manhattan,Entire home/apt,200.0,5.0,49.0,0.84,1.0,3.0
Brooklyn,Entire home/apt,129.0,30.0,15.0,0.27,52.0,2.0
Brooklyn,Private room,150.0,1.0,0.0,1.3732214298586618,1.0,0.0
Manhattan,Entire home/apt,185.0,5.0,18.0,0.3,1.0,4.0
Brooklyn,Entire home/apt,316.0,3.0,29.0,0.49,1.0,3.0
Manhattan,Entire home/apt,175.0,1.0,1.0,0.02,1.0,5.0
Brooklyn,Private room,72.0,3.0,6.0,0.1,1.0,5.0
Manhattan,Entire home/apt,150.0,1.0,60.0,1.0,4.0,5.0
Brooklyn,Entire home/apt,225.0,2.0,257.0,4.21,2.0,4.0
Brooklyn,Entire home/apt,200.0,3.0,153.0,2.64,1.0,3.0
Queens,Entire home/apt,89.0,10.0,10.0,0.18,1.0,5.0
Brooklyn,Entire home/apt,285.0,1.0,89.0,1.47,2.0,5.0
Brooklyn,Private room,70.0,2.0,10.0,0.16,2.0,4.0
Manhattan,Entire home/apt,300.0,30.0,3.0,0.05,9.0,3.0
Brooklyn,Entire home/apt,220.0,5.0,3.0,0.13,1.0,2.0
Manhattan,Entire home/apt,149.0,31.0,0.0,1.3732214298586618,4.0,2.0
Manhattan,Private room,69.0,3.0,18.0,0.29,4.0,4.0
Brooklyn,Entire home/apt,120.0,30.0,77.0,1.3,1.0,5.0
Manhattan,Private room,69.0,2.0,60.0,1.05,2.0,4.0
Manhattan,Private room,54.0,5.0,21.0,0.34,4.0,4.0
Manhattan,Private room,50.0,5.0,24.0,0.39,4.0,5.0
Manhattan,Private room,51.0,6.0,20.0,0.33,4.0,1.0
Brooklyn,Entire home/apt,240.0,365.0,0.0,1.3732214298586618,1.0,5.0
Bronx,Private room,49.0,2.0,114.0,1.87,4.0,2.0
Brooklyn,Entire home/apt,125.0,7.0,25.0,0.41,1.0,5.0
Manhattan,Entire home/apt,135.0,3.0,225.0,3.69,2.0,5.0
Manhattan,Entire home/apt,95.0,30.0,36.0,0.61,1.0,5.0
Brooklyn,Private room,55.0,3.0,225.0,3.7,1.0,3.0
Brooklyn,Private room,47.0,2.0,118.0,1.99,1.0,2.0
Manhattan,Private room,39.0,4.0,48.0,0.82,2.0,4.0
Manhattan,Entire home/apt,349.0,5.0,19.0,0.45,1.0,2.0
Brooklyn,Entire home/apt,250.0,1.0,7.0,0.12,1.0,1.0
Manhattan,Entire home/apt,290.0,7.0,90.0,1.53,1.0,5.0
Brooklyn,Private room,85.0,1.0,83.0,1.51,3.0,4.0
Brooklyn,Entire home/apt,150.0,3.0,25.0,0.42,1.0,4.0
Brooklyn,Entire home/apt,240.0,2.0,87.0,1.46,1.0,4.0
Brooklyn,Entire home/apt,500.0,2.0,48.0,0.8,1.0,3.0
Queens,Private room,48.0,2.0,33.0,0.92,1.0,3.0
Manhattan,Entire home/apt,750.0,3.0,16.0,0.27,1.0,4.0
Manhattan,Entire home/apt,180.0,5.0,9.0,0.15,1.0,5.0
Queens,Private room,70.0,3.0,1.0,0.09,1.0,4.0
Manhattan,Entire home/apt,122.0,30.0,7.0,0.12,1.0,3.0
Bronx,Private room,47.0,2.0,75.0,1.27,4.0,0.0
Brooklyn,Entire home/apt,140.0,3.0,12.0,0.2,1.0,2.0
Bronx,Private room,55.0,1.0,231.0,3.95,2.0,3.0
Brooklyn,Entire home/apt,175.0,3.0,1.0,0.02,2.0,2.0
Manhattan,Private room,99.0,1.0,21.0,0.47,2.0,2.0
Manhattan,Entire home/apt,225.0,1.0,39.0,2.73,1.0,3.0
Brooklyn,Private room,60.0,7.0,16.0,0.26,1.0,2.0
Manhattan,Entire home/apt,255.0,2.0,1.0,0.02,1.0,5.0
Brooklyn,Entire home/apt,495.0,3.0,15.0,0.27,3.0,4.0
Brooklyn,Entire home/apt,98.0,5.0,11.0,0.18,1.0,3.0
Brooklyn,Private room,150.0,1.0,0.0,1.3732214298586618,1.0,3.0
Manhattan,Entire home/apt,215.0,1.0,107.0,1.8,1.0,0.0
Manhattan,Entire home/apt,115.0,3.0,64.0,1.05,2.0,2.0
Manhattan,Private room,95.0,1.0,202.0,3.31,2.0,3.0
Manhattan,Entire home/apt,197.0,1.0,285.0,4.83,1.0,5.0
Brooklyn,Entire home/apt,375.0,3.0,6.0,0.1,1.0,2.0
Staten Island,Private room,56.0,1.0,145.0,2.38,1.0,2.0
Manhattan,Entire home/apt,225.0,15.0,15.0,0.45,1.0,0.0
Manhattan,Entire home/apt,264.0,30.0,6.0,0.1,10.0,2.0
Manhattan,Entire home/apt,199.0,30.0,11.0,0.19,10.0,3.0
Brooklyn,Entire home/apt,149.0,2.0,19.0,0.33,3.0,3.0
Brooklyn,Entire home/apt,142.0,1.0,169.0,2.8,2.0,4.0
Manhattan,Entire home/apt,299.0,4.0,58.0,0.97,2.0,4.0
Brooklyn,Entire home/apt,160.0,1.0,488.0,8.14,1.0,3.0
Brooklyn,Entire home/apt,127.0,4.0,142.0,2.34,1.0,3.0
Manhattan,Private room,69.0,2.0,36.0,0.6,3.0,5.0
Brooklyn,Entire home/apt,175.0,3.0,4.0,0.07,2.0,2.0
Brooklyn,Entire home/apt,144.0,1.0,51.0,0.84,2.0,3.0
Brooklyn,Entire home/apt,109.0,2.0,214.0,4.58,1.0,2.0
Queens,Private room,39.0,30.0,0.0,1.3732214298586618,18.0,4.0
Queens,Private room,38.0,30.0,8.0,0.14,18.0,2.0
Brooklyn,Entire home/apt,195.0,2.0,231.0,3.82,1.0,4.0
Manhattan,Entire home/apt,146.0,3.0,91.0,1.52,2.0,4.0
Brooklyn,Entire home/apt,318.0,5.0,19.0,0.32,1.0,2.0
Brooklyn,Entire home/apt,140.0,2.0,133.0,2.52,2.0,5.0
Manhattan,Private room,85.0,1.0,145.0,3.48,12.0,0.0
Queens,Private room,100.0,2.0,2.0,0.03,1.0,5.0
Manhattan,Entire home/apt,350.0,4.0,8.0,0.13,1.0,5.0
Brooklyn,Private room,77.0,6.0,17.0,0.29,1.0,2.0
Brooklyn,Private room,550.0,3.0,5.0,0.1,1.0,2.0
Brooklyn,Entire home/apt,155.0,5.0,7.0,0.12,1.0,1.0
Manhattan,Entire home/apt,275.0,30.0,12.0,0.2,1.0,5.0
Manhattan,Private room,90.0,2.0,127.0,2.15,1.0,4.0
Brooklyn,Entire home/apt,135.0,5.0,53.0,0.9,1.0,3.0
Brooklyn,Private room,90.0,3.0,230.0,3.79,1.0,4.0
Brooklyn,Private room,38.0,3.0,76.0,1.3,3.0,5.0
Manhattan,Entire home/apt,87.0,30.0,4.0,0.07,52.0,5.0
Manhattan,Private room,80.0,2.0,50.0,0.83,1.0,4.0
Brooklyn,Entire home/apt,250.0,3.0,20.0,0.39,1.0,5.0
Brooklyn,Private room,65.0,1.0,52.0,0.87,2.0,0.0
Manhattan,Entire home/apt,129.0,4.0,17.0,0.28,1.0,3.0
Manhattan,Entire home/apt,159.0,4.0,45.0,0.75,1.0,5.0
Queens,Private room,125.0,7.0,0.0,1.3732214298586618,1.0,4.0
Manhattan,Entire home/apt,249.0,3.0,44.0,0.74,1.0,4.0
Brooklyn,Entire home/apt,151.0,5.0,52.0,0.91,5.0,2.0
Brooklyn,Private room,79.0,4.0,70.0,1.19,1.0,1.0
Manhattan,Entire home/apt,135.0,5.0,76.0,1.28,1.0,4.0
Manhattan,Entire home/apt,151.0,2.0,5.0,0.1,2.0,1.0
Manhattan,Entire home/apt,600.0,3.0,73.0,1.23,1.0,4.0
Brooklyn,Entire home/apt,59.0,1.0,142.0,2.63,1.0,0.0
Manhattan,Entire home/apt,273.0,4.0,85.0,1.41,1.0,4.0
Manhattan,Private room,70.0,2.0,28.0,0.82,2.0,2.0
Brooklyn,Entire home/apt,399.0,3.0,49.0,0.96,4.0,4.0
Brooklyn,Private room,96.0,1.0,332.0,5.57,2.0,2.0
Manhattan,Shared room,110.0,1.0,47.0,0.81,1.0,3.0
Manhattan,Private room,69.0,2.0,249.0,4.12,2.0,4.0
Brooklyn,Private room,85.0,2.0,67.0,1.56,3.0,2.0
Manhattan,Entire home/apt,145.0,1.0,358.0,5.96,1.0,0.0
Brooklyn,Entire home/apt,500.0,1.0,138.0,2.34,1.0,5.0
Queens,Entire home/apt,150.0,1.0,0.0,1.3732214298586618,1.0,5.0
Brooklyn,Entire home/apt,85.0,3.0,37.0,0.62,1.0,5.0
Brooklyn,Entire home/apt,113.0,4.0,38.0,0.63,1.0,0.0
Brooklyn,Entire home/apt,200.0,2.0,175.0,2.93,1.0,2.0
Manhattan,Shared room,200.0,1.0,31.0,0.53,1.0,5.0
Brooklyn,Entire home/apt,110.0,30.0,4.0,0.07,1.0,3.0
Brooklyn,Entire home/apt,500.0,3.0,19.0,0.36,4.0,3.0
Brooklyn,Entire home/apt,200.0,1.0,14.0,0.24,1.0,4.0
Manhattan,Private room,69.0,60.0,9.0,0.16,2.0,3.0
Manhattan,Entire home/apt,200.0,5.0,64.0,1.09,1.0,2.0
Brooklyn,Entire home/apt,140.0,5.0,7.0,0.15,3.0,3.0
Brooklyn,Private room,45.0,4.0,37.0,0.64,4.0,2.0
Manhattan,Entire home/apt,70.0,180.0,7.0,0.12,19.0,0.0
Manhattan,Private room,200.0,2.0,62.0,1.06,1.0,5.0
Manhattan,Entire home/apt,365.0,2.0,62.0,1.02,1.0,5.0
Brooklyn,Private room,99.0,1.0,83.0,1.39,1.0,4.0
Manhattan,Entire home/apt,175.0,7.0,9.0,0.27,1.0,4.0
Manhattan,Entire home/apt,220.0,4.0,60.0,1.01,1.0,3.0
Manhattan,Private room,80.0,1.0,3.0,0.05,2.0,5.0
Manhattan,Private room,60.0,30.0,2.0,0.19,1.0,4.0
Brooklyn,Private room,45.0,14.0,8.0,0.81,4.0,5.0
Manhattan,Entire home/apt,100.0,4.0,50.0,0.83,1.0,3.0
Brooklyn,Entire home/apt,120.0,2.0,60.0,1.0,1.0,5.0
Brooklyn,Private room,99.0,2.0,8.0,0.17,3.0,0.0
Brooklyn,Entire home/apt,122.0,1.0,157.0,2.64,1.0,4.0
Manhattan,Entire home/apt,140.0,2.0,292.0,4.95,2.0,5.0
Brooklyn,Private room,38.0,30.0,77.0,1.28,11.0,4.0
Manhattan,Entire home/apt,200.0,7.0,16.0,1.09,1.0,0.0
Manhattan,Private room,45.0,6.0,13.0,0.23,8.0,0.0
Queens,Entire home/apt,108.0,2.0,81.0,1.35,1.0,4.0
Brooklyn,Entire home/apt,129.0,3.0,15.0,0.25,1.0,4.0
Brooklyn,Entire home/apt,275.0,2.0,180.0,2.99,2.0,2.0
Manhattan,Entire home/apt,148.0,30.0,9.0,0.15,9.0,3.0
Manhattan,Entire home/apt,250.0,31.0,0.0,1.3732214298586618,1.0,3.0
Brooklyn,Entire home/apt,130.0,5.0,150.0,2.48,2.0,5.0
Brooklyn,Private room,180.0,3.0,192.0,3.2,1.0,4.0
Manhattan,Private room,145.0,6.0,61.0,1.17,1.0,4.0
Brooklyn,Entire home/apt,90.0,2.0,51.0,0.86,1.0,0.0
Brooklyn,Entire home/apt,70.0,2.0,56.0,0.94,1.0,3.0
Manhattan,Entire home/apt,120.0,3.0,116.0,1.95,1.0,3.0
Manhattan,Private room,59.0,9.0,26.0,0.44,3.0,1.0
Brooklyn,Private room,91.0,3.0,33.0,0.65,1.0,3.0
Queens,Entire home/apt,184.0,3.0,146.0,2.46,1.0,0.0
Manhattan,Private room,150.0,4.0,147.0,2.44,1.0,4.0
Manhattan,Private room,65.0,7.0,45.0,0.92,1.0,4.0
Manhattan,Private room,65.0,2.0,13.0,0.28,2.0,1.0
Brooklyn,Private room,80.0,21.0,88.0,1.5,1.0,4.0
Brooklyn,Private room,80.0,2.0,122.0,2.07,1.0,5.0
Manhattan,Private room,75.0,30.0,2.0,0.04,8.0,3.0
Brooklyn,Entire home/apt,192.0,4.0,6.0,0.14,1.0,3.0
Manhattan,Private room,50.0,21.0,3.0,0.3,8.0,4.0
Manhattan,Private room,58.0,21.0,2.0,0.04,8.0,4.0
Queens,Entire home/apt,120.0,6.0,25.0,0.42,4.0,5.0
Brooklyn,Private room,50.0,30.0,14.0,0.23,6.0,2.0
Brooklyn,Private room,85.0,3.0,47.0,0.81,1.0,4.0
Queens,Private room,59.0,1.0,173.0,2.87,3.0,2.0
Manhattan,Entire home/apt,130.0,30.0,3.0,0.08,29.0,2.0
Manhattan,Entire home/apt,104.0,30.0,11.0,0.19,8.0,2.0
Queens,Entire home/apt,95.0,30.0,8.0,0.16,3.0,3.0
Manhattan,Entire home/apt,199.0,5.0,40.0,0.68,8.0,2.0
Bronx,Private room,105.0,1.0,3.0,0.14,2.0,4.0
Brooklyn,Private room,34.0,6.0,81.0,1.35,3.0,2.0
Queens,Entire home/apt,125.0,1.0,30.0,0.5,2.0,5.0
Queens,Private room,80.0,1.0,57.0,0.97,1.0,2.0
Queens,Entire home/apt,95.0,30.0,10.0,0.28,3.0,4.0
Manhattan,Private room,150.0,1.0,13.0,1.27,3.0,3.0
Brooklyn,Entire home/apt,140.0,5.0,28.0,0.6,1.0,4.0
Brooklyn,Entire home/apt,150.0,3.0,117.0,1.96,1.0,5.0
Manhattan,Entire home/apt,95.0,75.0,13.0,0.23,19.0,1.0
Brooklyn,Entire home/apt,159.0,30.0,3.0,0.08,52.0,2.0
Brooklyn,Entire home/apt,175.0,2.0,25.0,0.43,1.0,3.0
Brooklyn,Entire home/apt,260.0,7.0,3.0,0.05,2.0,4.0
Brooklyn,Entire home/apt,80.0,3.0,24.0,0.4,3.0,0.0
Brooklyn,Private room,69.0,2.0,56.0,0.95,7.0,5.0
Brooklyn,Entire home/apt,100.0,3.0,36.0,0.6,1.0,2.0
Queens,Private room,85.0,1.0,31.0,0.51,2.0,3.0
Manhattan,Entire home/apt,160.0,30.0,15.0,0.25,39.0,5.0
Manhattan,Entire home/apt,150.0,30.0,2.0,0.03,39.0,3.0
Manhattan,Entire home/apt,115.0,30.0,3.0,0.06,52.0,2.0
Queens,Private room,113.0,2.0,36.0,0.74,1.0,5.0
Manhattan,Entire home/apt,110.0,30.0,10.0,0.18,52.0,3.0
Brooklyn,Entire home/apt,81.0,30.0,99.0,1.67,3.0,2.0
