neighbourhood,price,minimum_nights,number_of_reviews,reviews_per_month,calculated_host_listings_count,availability_365,ng_Brooklyn,ng_Manhattan,ng_Queens,ng_Staten Island,rt_Private room,rt_Shared room
Williamsburg,110,2,49,4.14,2,335,1,0,0,0,1,0
Bushwick,0,30,5,0.26,6,139,1,0,0,0,0,1
Sheepshead Bay,50,180,0,1.3732214298586618,3,155,1,0,0,0,1,0
Williamsburg,145,3,166,2.15,2,151,1,0,0,0,0,0
Sunset Park,150,5,2,0.08,3,179,1,0,0,0,0,0
Bedford-Stuyvesant,98,2,6,0.93,1,359,1,0,0,0,0,0
Hell's Kitchen,120,30,4,0.35,20,342,0,1,0,0,0,0
Kingsbridge,80,3,1,0.05,1,0,0,0,0,0,1,0
Windsor Terrace,300,3,0,1.3732214298586618,1,335,1,0,0,0,0,0
Cobble Hill,69,2,13,0.37,1,0,1,0,0,0,1,0
Upper East Side,249,3,55,1.75,2,1,0,1,0,0,0,0
East Village,165,4,2,2.0,1,0,0,1,0,0,0,0
West Village,325,1,0,1.3732214298586618,1,0,0,1,0,0,0,0
Rosedale,55,2,4,0.13,2,349,0,0,1,0,1,0
Bedford-Stuyvesant,65,2,3,0.11,3,0,1,0,0,0,1,0
Kips Bay,1550,2,0,1.3732214298586618,1,0,0,1,0,0,0,0
Harlem,65,6,12,0.75,2,8,0,1,0,0,1,0
Midtown,85,30,4,0.12,52,342,0,1,0,0,0,0
Williamsburg,200,4,15,0.32,1,95,1,0,0,0,0,0
Harlem,65,1,4,0.28,4,365,0,1,0,0,1,0
East Village,180,5,0,1.3732214298586618,1,0,0,1,0,0,0,0
East Harlem,75,1,2,0.19,1,0,0,1,0,0,1,0
Bedford-Stuyvesant,160,3,22,3.28,1,110,1,0,0,0,0,0
Williamsburg,95,4,132,1.27,1,46,1,0,0,0,0,0
Crown Heights,100,3,2,1.18,1,0,1,0,0,0,0,0
Woodhaven,50,4,1,0.06,1,0,0,0,1,0,0,0
Far Rockaway,250,2,22,1.6,1,47,0,0,1,0,0,0
Lower East Side,159,3,170,3.64,1,37,0,1,0,0,0,0
Flushing,48,2,54,2.28,10,360,0,0,1,0,1,0
Morningside Heights,55,21,0,1.3732214298586618,1,0,0,1,0,0,1,0
Hell's Kitchen,55,7,12,1.09,47,354,0,1,0,0,1,0
Bushwick,45,2,14,2.55,2,40,1,0,0,0,1,0
Crown Heights,124,2,65,2.67,1,308,1,0,0,0,0,0
Upper West Side,290,30,2,0.52,25,313,0,1,0,0,0,0
Crown Heights,275,1,26,0.96,3,271,1,0,0,0,0,0
Upper East Side,118,30,4,0.11,29,315,0,1,0,0,0,0
Ditmars Steinway,60,1,3,0.45,1,40,0,0,1,0,1,0
Woodside,40,31,2,0.16,18,362,0,0,1,0,1,0
Upper East Side,65,15,1,0.15,1,0,0,1,0,0,1,0
Hell's Kitchen,105,1,67,5.98,12,241,0,1,0,0,1,0
Ditmars Steinway,83,5,13,0.68,1,365,0,0,1,0,0,0
Washington Heights,48,1,7,1.09,4,176,0,1,0,0,1,0
Prospect Heights,125,7,1,0.03,1,0,1,0,0,0,0,0
Longwood,75,3,6,0.25,1,87,0,0,0,0,1,0
Richmond Hill,150,3,6,0.55,1,162,0,0,1,0,0,0
Cypress Hills,165,2,18,3.78,1,61,1,0,0,0,0,0
Bushwick,80,2,9,0.14,1,0,1,0,0,0,1,0
Tribeca,245,30,1,0.07,87,262,0,1,0,0,0,0
Bushwick,175,1,54,5.26,2,137,1,0,0,0,0,0
Bedford-Stuyvesant,58,1,16,0.52,2,8,1,0,0,0,1,0
Williamsburg,95,2,186,3.75,2,62,1,0,0,0,1,0
Flatbush,415,4,3,0.06,1,0,1,0,0,0,0,0
Williamsburg,65,2,0,1.3732214298586618,1,6,1,0,0,0,1,0
Williamsburg,200,2,43,2.8,1,102,1,0,0,0,0,0
Chelsea,189,3,9,0.87,1,0,0,1,0,0,0,0
East Harlem,250,2,27,1.94,1,31,0,1,0,0,0,0
Queens Village,68,2,33,3.6,1,282,0,0,1,0,0,0
Elmhurst,28,30,0,1.3732214298586618,37,1,0,0,1,0,1,0
Bedford-Stuyvesant,77,2,0,1.3732214298586618,7,169,1,0,0,0,1,0
Hell's Kitchen,185,3,1,1.0,1,267,0,1,0,0,0,0
Financial District,299,1,0,1.3732214298586618,1,83,0,1,0,0,0,1
South Slope,45,5,1,0.23,1,28,1,0,0,0,0,0
Midtown,185,1,2,0.05,1,0,0,1,0,0,0,0
Greenwich Village,43,5,3,0.39,1,5,0,1,0,0,1,0
Crown Heights,168,2,158,1.93,2,253,1,0,0,0,0,0
Williamsburg,85,3,0,1.3732214298586618,1,0,1,0,0,0,1,0
Greenpoint,199,3,73,0.84,28,56,1,0,0,0,0,0
Harlem,60,4,41,1.31,1,98,0,1,0,0,1,0
East Village,56,9,4,0.65,1,0,0,1,0,0,1,0
Ridgewood,45,3,0,1.3732214298586618,1,0,0,0,1,0,1,0
Prospect Heights,150,3,18,0.26,1,68,1,0,0,0,0,0
Bedford-Stuyvesant,96,2,14,4.62,1,50,1,0,0,0,0,0
East Harlem,89,3,21,0.91,2,125,0,1,0,0,1,0
Upper West Side,75,1,8,2.64,2,75,0,1,0,0,1,0
West Village,149,2,3,0.1,1,0,0,1,0,0,0,0
Financial District,190,29,0,1.3732214298586618,96,284,0,1,0,0,0,0
Washington Heights,85,30,4,0.22,1,0,0,1,0,0,0,0
Upper East Side,222,2,94,2.16,1,281,0,1,0,0,0,0
Bushwick,84,1,8,0.94,1,31,1,0,0,0,1,0
Flushing,60,5,66,1.69,12,141,0,0,1,0,1,0
Fort Greene,150,2,99,1.77,1,246,1,0,0,0,0,0
Bedford-Stuyvesant,100,3,168,2.81,1,317,1,0,0,0,0,0
Concourse Village,65,1,2,2.0,1,364,0,0,0,0,1,0
Williamsburg,128,5,0,1.3732214298586618,1,35,1,0,0,0,0,0
Upper West Side,85,29,10,0.36,1,241,0,1,0,0,1,0
Williamsburg,90,1,194,3.81,3,229,1,0,0,0,1,0
Midtown,208,7,3,0.17,2,155,0,1,0,0,0,0
Midtown,999,2,54,1.49,1,58,0,1,0,0,0,0
Harlem,50,1,17,1.11,1,0,0,1,0,0,1,0
Flatbush,80,1,97,2.9,3,286,1,0,0,0,1,0
Hell's Kitchen,134,1,81,2.96,2,0,0,1,0,0,0,0
Williamsburg,109,4,91,3.31,1,212,1,0,0,0,0,0
Upper East Side,200,21,1,0.16,1,88,0,1,0,0,0,0
East Harlem,270,3,70,2.06,3,255,0,1,0,0,0,0
Hell's Kitchen,199,5,40,0.68,8,43,0,1,0,0,0,0
Tribeca,425,5,1,0.02,1,0,0,1,0,0,0,0
Wakefield,100,2,38,2.66,1,107,0,0,0,0,0,0
East Flatbush,35,3,7,0.57,3,319,1,0,0,0,1,0
Long Island City,100,4,2,0.19,1,0,0,0,1,0,0,0
Harlem,100,6,21,0.96,1,87,0,1,0,0,1,0
West Village,240,1,1,1.0,1,75,0,1,0,0,0,0
Woodside,38,30,0,1.3732214298586618,103,249,0,0,1,0,1,0
Harlem,290,1,77,1.25,1,252,0,1,0,0,0,0
Bedford-Stuyvesant,90,1,163,3.94,1,25,1,0,0,0,0,0
Upper West Side,89,1,1,0.02,2,0,0,1,0,0,1,0
Crown Heights,162,2,3,0.24,1,0,1,0,0,0,0,0
West Village,64,5,42,0.56,1,0,0,1,0,0,1,0
East Harlem,150,7,4,0.3,1,127,0,1,0,0,0,0
Williamsburg,500,7,5,0.16,1,106,1,0,0,0,0,0
Upper West Side,200,1,2,0.06,1,0,0,1,0,0,0,0
Upper East Side,110,3,69,1.78,1,5,0,1,0,0,0,0
Bedford-Stuyvesant,55,1,0,1.3732214298586618,1,0,1,0,0,0,1,0
Upper West Side,199,2,0,1.3732214298586618,1,0,0,1,0,0,0,0
East Village,110,2,46,1.17,4,307,0,1,0,0,1,0
East Village,95,30,7,0.2,1,238,0,1,0,0,1,0
Harlem,260,3,38,0.94,1,296,0,1,0,0,0,0
Prospect Heights,158,30,0,1.3732214298586618,3,281,1,0,0,0,0,0
Bedford-Stuyvesant,100,30,1,0.07,2,111,1,0,0,0,0,0
Greenpoint,199,2,14,1.28,1,250,1,0,0,0,0,0
Williamsburg,100,2,11,0.18,1,0,1,0,0,0,1,0
Middle Village,85,2,97,1.43,1,230,0,0,1,0,0,0
Boerum Hill,120,1,0,1.3732214298586618,1,0,1,0,0,0,1,0
Jamaica,128,1,141,7.24,1,164,0,0,1,0,0,0
Bedford-Stuyvesant,79,2,2,1.02,2,5,1,0,0,0,1,0
Financial District,229,2,7,2.8,327,327,0,1,0,0,0,0
Park Slope,179,2,15,0.22,1,0,1,0,0,0,0,0
Gramercy,175,30,0,1.3732214298586618,96,312,0,1,0,0,0,0
Bushwick,70,1,3,0.58,1,319,1,0,0,0,1,0
Hell's Kitchen,211,30,0,1.3732214298586618,232,227,0,1,0,0,0,0
Laurelton,34,1,3,3.0,1,70,0,0,1,0,1,0
Prospect-Lefferts Gardens,41,1,43,1.19,4,188,1,0,0,0,1,0
Fort Greene,85,5,29,2.91,1,240,1,0,0,0,1,0
Crown Heights,150,2,11,0.24,1,0,1,0,0,0,0,0
Williamsburg,50,1,2,0.04,1,0,1,0,0,0,1,0
Financial District,100,29,0,1.3732214298586618,327,333,0,1,0,0,0,0
Bedford-Stuyvesant,60,30,2,0.09,2,0,1,0,0,0,1,0
SoHo,500,3,3,0.05,1,0,0,1,0,0,0,0
Upper East Side,175,30,0,1.3732214298586618,49,365,0,1,0,0,0,0
Crown Heights,350,2,23,0.37,1,188,1,0,0,0,0,0
Carroll Gardens,172,2,90,2.31,1,87,1,0,0,0,0,0
Windsor Terrace,265,2,8,0.21,4,0,1,0,0,0,0,0
Ridgewood,48,1,2,2.0,1,17,0,0,1,0,1,0
Concourse,45,1,28,3.07,1,161,0,0,0,0,1,0
Clinton Hill,75,3,43,0.44,2,365,1,0,0,0,1,0
Flushing,40,7,102,2.73,12,105,0,0,1,0,1,0
Ditmars Steinway,80,2,17,1.36,1,24,0,0,1,0,1,0
Williamsburg,175,1,11,0.36,2,37,1,0,0,0,0,0
Financial District,210,2,5,2.83,1,0,0,1,0,0,1,0
Sunset Park,38,2,1,0.03,1,0,1,0,0,0,1,0
Bedford-Stuyvesant,25,2,1,0.02,1,0,1,0,0,0,1,0
Arverne,100,2,10,6.82,1,67,0,0,1,0,1,0
Park Slope,200,4,0,1.3732214298586618,1,0,1,0,0,0,0,0
Woodhaven,45,5,34,0.85,6,212,0,0,1,0,1,0
Midtown,115,30,1,0.03,52,341,0,1,0,0,0,0
West Village,175,2,7,4.88,1,341,0,1,0,0,0,0
Boerum Hill,72,1,201,4.45,4,5,1,0,0,0,1,0
Bushwick,42,4,6,0.27,2,0,1,0,0,0,1,0
Crown Heights,132,3,0,1.3732214298586618,2,0,1,0,0,0,0,0
Sunset Park,45,13,3,0.91,3,34,1,0,0,0,1,0
East Flatbush,43,3,3,0.43,2,58,1,0,0,0,1,0
Kingsbridge,100,3,0,1.3732214298586618,1,88,0,0,0,0,1,0
St. Albans,70,3,12,1.31,1,323,0,0,1,0,0,0
Forest Hills,72,1,5,0.4,1,35,0,0,1,0,1,0
St. George,120,2,116,4.0,1,191,0,0,0,1,0,0
Washington Heights,60,3,5,1.95,1,20,0,1,0,0,1,0
Upper East Side,200,2,5,0.11,1,0,0,1,0,0,0,0
Williamsburg,65,4,1,0.1,1,157,1,0,0,0,1,0
Williamsburg,240,2,9,0.2,1,0,1,0,0,0,0,0
Williamsburg,72,3,2,0.31,1,0,1,0,0,0,1,0
East Harlem,43,1,86,3.55,10,161,0,1,0,0,1,0
Bensonhurst,49,1,1,0.03,1,0,1,0,0,0,0,0
Bushwick,45,1,30,3.63,2,327,1,0,0,0,1,0
Gramercy,250,2,1,1.0,1,10,0,1,0,0,0,0
Williamsburg,80,10,2,0.05,2,0,1,0,0,0,0,0
Financial District,160,6,2,0.05,1,0,0,1,0,0,0,0
Bedford-Stuyvesant,50,3,86,3.97,4,346,1,0,0,0,1,0
East Flatbush,30,4,0,1.3732214298586618,1,0,1,0,0,0,0,0
Prospect Heights,145,3,18,0.37,1,0,1,0,0,0,0,0
Harlem,50,1,0,1.3732214298586618,1,0,0,1,0,0,1,0
East Harlem,98,2,18,1.86,1,209,0,1,0,0,1,0
Lower East Side,150,1,60,1.0,4,188,0,1,0,0,0,0
Clinton Hill,120,1,2,0.07,1,0,1,0,0,0,1,0
East Elmhurst,65,1,0,1.3732214298586618,1,36,0,0,1,0,1,0
Midtown,450,30,3,0.58,1,154,0,1,0,0,0,0
Theater District,975,2,1,0.02,1,0,0,1,0,0,0,0
Financial District,130,29,0,1.3732214298586618,327,349,0,1,0,0,0,0
East Flatbush,70,1,23,3.27,1,0,1,0,0,0,0,0
Upper East Side,90,1,38,0.95,2,361,0,1,0,0,1,0
Park Slope,100,2,18,0.31,1,58,1,0,0,0,0,0
Bushwick,80,7,6,0.12,1,3,1,0,0,0,0,0
West Village,289,3,10,0.22,1,88,0,1,0,0,0,0
Lower East Side,200,5,2,0.32,1,78,0,1,0,0,0,0
Breezy Point,250,1,0,1.3732214298586618,1,82,0,0,1,0,1,0
East Harlem,250,3,13,0.94,1,74,0,1,0,0,0,0
Kips Bay,69,4,107,2.5,2,0,0,1,0,0,1,0
Clinton Hill,200,30,6,0.41,1,266,1,0,0,0,0,0
Fort Greene,85,5,124,1.32,1,69,1,0,0,0,1,0
Bedford-Stuyvesant,200,2,0,1.3732214298586618,4,189,1,0,0,0,1,0
Sunset Park,110,2,42,5.21,1,90,1,0,0,0,0,0
Canarsie,69,1,20,0.78,4,305,1,0,0,0,1,0
Bedford-Stuyvesant,265,2,3,0.29,4,114,1,0,0,0,0,0
Bushwick,70,7,1,0.03,1,0,1,0,0,0,0,0
Astoria,175,14,0,1.3732214298586618,1,0,0,0,1,0,0,0
Kips Bay,175,3,0,1.3732214298586618,1,0,0,1,0,0,0,0
Williamsburg,125,2,0,1.3732214298586618,1,0,1,0,0,0,1,0
Ridgewood,50,1,22,1.53,7,59,0,0,1,0,1,0
Williamsburg,160,6,1,0.01,1,0,1,0,0,0,0,0
Midtown,250,3,1,0.02,1,0,0,1,0,0,0,0
Midtown,799,3,1,0.03,12,365,0,1,0,0,1,0
Bushwick,40,3,6,0.2,1,0,1,0,0,0,1,0
West Village,140,25,0,1.3732214298586618,2,73,0,1,0,0,0,0
Harlem,60,3,35,4.1,1,5,0,1,0,0,1,0
Williamsburg,90,2,0,1.3732214298586618,1,0,1,0,0,0,1,0
Midwood,65,3,3,0.16,1,364,1,0,0,0,1,0
Upper East Side,98,3,57,2.26,1,30,0,1,0,0,0,0
Crown Heights,206,3,42,1.46,1,0,1,0,0,0,0,0
Williamsburg,145,5,1,1.0,3,17,1,0,0,0,0,0
Harlem,55,1,0,1.3732214298586618,3,21,0,1,0,0,1,0
Fort Greene,50,1,2,0.06,1,0,1,0,0,0,1,0
Upper West Side,250,30,17,0.47,1,190,0,1,0,0,0,0
Hell's Kitchen,410,1,1,0.5,5,294,0,1,0,0,1,0
Williamsburg,250,4,7,0.33,1,118,1,0,0,0,0,0
Gramercy,130,15,0,1.3732214298586618,1,0,0,1,0,0,0,0
Upper East Side,150,29,0,1.3732214298586618,327,221,0,1,0,0,0,0
Morningside Heights,68,5,0,1.3732214298586618,1,0,0,1,0,0,1,0
Greenpoint,99,6,0,1.3732214298586618,2,54,1,0,0,0,1,0
Harlem,70,1,23,6.05,2,97,0,1,0,0,1,0
Harlem,65,2,167,4.16,1,209,0,1,0,0,1,0
Bedford-Stuyvesant,175,7,1,0.05,1,0,1,0,0,0,0,0
West Village,500,2,3,1.55,1,5,0,1,0,0,0,0
Bushwick,65,2,26,2.82,8,349,1,0,0,0,1,0
Williamsburg,55,2,0,1.3732214298586618,1,0,1,0,0,0,1,0
Bedford-Stuyvesant,160,1,6,1.49,2,68,1,0,0,0,0,0
Briarwood,50,2,30,2.41,3,92,0,0,1,0,1,0
Crown Heights,150,2,16,0.48,1,35,1,0,0,0,0,0
Fort Greene,350,7,0,1.3732214298586618,1,145,1,0,0,0,0,0
Williamsburg,100,7,6,0.16,1,0,1,0,0,0,0,0
Williamsburg,105,2,1,0.11,2,3,1,0,0,0,0,0
Williamsburg,160,5,15,0.97,1,83,1,0,0,0,0,0
Midtown,350,1,2,2.0,14,365,0,1,0,0,1,0
Bedford-Stuyvesant,79,1,195,7.79,3,46,1,0,0,0,1,0
Gramercy,250,1,0,1.3732214298586618,1,0,0,1,0,0,0,0
Fordham,35,3,2,0.06,1,0,0,0,0,0,1,0
Upper West Side,105,1,181,4.61,1,175,0,1,0,0,0,0
East Village,175,3,7,0.3,1,0,0,1,0,0,0,0
Williamsburg,325,4,12,0.49,1,6,1,0,0,0,0,0
Brooklyn Heights,200,3,2,0.06,1,0,1,0,0,0,0,0
Ridgewood,375,4,5,0.13,2,364,0,0,1,0,0,0
Midtown,98,3,98,2.66,1,278,0,1,0,0,1,0
Upper East Side,195,4,4,0.09,1,0,0,1,0,0,0,0
Roosevelt Island,45,3,1,0.02,1,0,0,1,0,0,1,0
Red Hook,35,10,1,0.02,2,0,1,0,0,0,1,0
Astoria,105,1,0,1.3732214298586618,1,0,0,0,1,0,0,0
Bedford-Stuyvesant,95,3,51,1.19,2,194,1,0,0,0,0,0
Hell's Kitchen,800,180,0,1.3732214298586618,1,358,0,1,0,0,0,0
Hell's Kitchen,175,4,0,1.3732214298586618,1,89,0,1,0,0,0,0
Cypress Hills,195,4,7,2.47,1,136,1,0,0,0,0,0
Clinton Hill,200,3,1,0.73,1,50,1,0,0,0,0,0
Prospect-Lefferts Gardens,150,30,0,1.3732214298586618,1,278,1,0,0,0,0,0
Prospect-Lefferts Gardens,62,1,0,1.3732214298586618,6,229,1,0,0,0,1,0
Williamsburg,29,2,58,2.02,2,0,1,0,0,0,1,0
Crown Heights,65,1,0,1.3732214298586618,1,0,1,0,0,0,1,0
Harlem,40,1,5,0.08,2,0,0,1,0,0,1,0
Jackson Heights,35,1,120,3.18,4,340,0,0,1,0,0,1
Harlem,75,2,80,2.69,2,305,0,1,0,0,1,0
Little Italy,174,30,0,1.3732214298586618,1,89,0,1,0,0,0,0
Rockaway Beach,139,1,0,1.3732214298586618,3,166,0,0,1,0,0,0
East Harlem,60,1,8,2.4,7,90,0,1,0,0,0,1
Bedford-Stuyvesant,90,5,25,0.53,2,347,1,0,0,0,0,0
Astoria,60,4,6,0.28,1,96,0,0,1,0,1,0
Crown Heights,88,2,0,1.3732214298586618,2,0,1,0,0,0,1,0
Upper West Side,179,2,15,0.26,1,0,0,1,0,0,0,0
Bushwick,78,3,10,0.16,2,0,1,0,0,0,0,0
Crown Heights,300,5,3,0.12,1,0,1,0,0,0,0,0
East Village,220,5,46,1.81,1,92,0,1,0,0,0,0
Midwood,95,3,46,0.76,3,86,1,0,0,0,1,0
Flatbush,160,2,156,2.54,2,307,1,0,0,0,1,0
Brooklyn Heights,399,14,0,1.3732214298586618,2,67,1,0,0,0,0,0
Bushwick,150,3,18,0.53,1,0,1,0,0,0,0,0
Greenpoint,159,30,9,0.21,52,362,1,0,0,0,0,0
Bedford-Stuyvesant,90,1,0,1.3732214298586618,1,0,1,0,0,0,1,0
Harlem,150,3,23,0.36,1,0,0,1,0,0,1,0
East Village,149,3,1,0.06,1,0,0,1,0,0,0,0
Upper West Side,195,2,21,1.83,1,2,0,1,0,0,0,0
Bedford-Stuyvesant,58,4,0,1.3732214298586618,4,29,1,0,0,0,1,0
Upper West Side,89,3,1,0.02,2,0,0,1,0,0,1,0
Bedford-Stuyvesant,60,7,1,0.12,1,0,1,0,0,0,1,0
Financial District,235,2,3,1.11,327,340,0,1,0,0,0,0
Bushwick,200,7,0,1.3732214298586618,1,0,1,0,0,0,0,0
Bedford-Stuyvesant,120,14,0,1.3732214298586618,1,53,1,0,0,0,0,0
Harlem,90,2,38,2.05,1,25,0,1,0,0,0,0
Greenpoint,60,2,3,0.23,1,0,1,0,0,0,1,0
Lower East Side,110,2,29,2.02,2,117,0,1,0,0,1,0
Upper East Side,120,2,9,0.35,1,0,0,1,0,0,1,0
West Village,190,2,1,0.04,1,0,0,1,0,0,0,0
Harlem,100,6,13,0.22,2,308,0,1,0,0,1,0
Chelsea,500,30,2,0.12,1,179,0,1,0,0,0,0
Cypress Hills,75,5,2,0.06,1,0,1,0,0,0,0,0
East New York,45,3,15,1.05,13,365,1,0,0,0,1,0
Morris Heights,77,2,36,1.81,1,5,0,0,0,0,1,0
Midtown,70,1,0,1.3732214298586618,1,0,0,1,0,0,1,0
Harlem,109,2,1,0.02,1,0,0,1,0,0,0,0
Williamsburg,99,2,198,2.78,2,89,1,0,0,0,0,0
Canarsie,40,4,4,0.23,4,37,1,0,0,0,1,0
Chelsea,100,3,11,2.77,1,24,0,1,0,0,0,0
Flushing,450,4,0,1.3732214298586618,1,365,0,0,1,0,0,0
East Elmhurst,155,1,101,4.12,1,308,0,0,1,0,0,0
West Village,250,80,5,0.06,2,78,0,1,0,0,0,0
Long Island City,60,1,1,1.0,1,326,0,0,1,0,1,0
Hell's Kitchen,130,1,2,0.04,1,0,0,1,0,0,0,0
Upper West Side,250,1,0,1.3732214298586618,1,0,0,1,0,0,0,0
Kew Gardens,45,1,17,0.72,2,365,0,0,1,0,0,1
Ridgewood,80,2,9,3.1,1,53,0,0,1,0,1,0
Theater District,999,1,12,1.4,3,213,0,1,0,0,1,0
Bushwick,150,30,0,1.3732214298586618,1,0,1,0,0,0,1,0
Tribeca,400,6,40,1.02,1,105,0,1,0,0,0,0
Concourse Village,38,2,0,1.3732214298586618,1,0,0,0,0,0,1,0
Hell's Kitchen,1500,30,0,1.3732214298586618,1,87,0,1,0,0,0,0
Bushwick,48,2,91,2.6,4,21,1,0,0,0,1,0
Bushwick,90,3,6,0.32,1,0,1,0,0,0,1,0
Borough Park,67,1,1,1.0,2,48,1,0,0,0,0,0
Jamaica,37,2,34,2.63,1,331,0,0,1,0,1,0
Sunset Park,155,1,138,3.14,1,225,1,0,0,0,0,0
Crown Heights,45,5,1,0.06,1,0,1,0,0,0,1,0
Bedford-Stuyvesant,20,10,3,0.57,2,17,1,0,0,0,1,0
Fresh Meadows,55,1,32,7.5,5,28,0,0,1,0,1,0
Crown Heights,153,4,105,2.45,1,9,1,0,0,0,0,0
Astoria,70,1,1,0.02,1,0,0,0,1,0,0,0
Midtown,670,25,0,1.3732214298586618,3,305,0,1,0,0,0,0
Harlem,200,60,0,1.3732214298586618,1,219,0,1,0,0,0,0
Bedford-Stuyvesant,200,2,1,1.0,2,5,1,0,0,0,0,0
Queens Village,41,1,11,0.51,2,125,0,0,1,0,0,1
Harlem,119,2,24,3.43,1,120,0,1,0,0,0,0
Upper East Side,300,1,0,1.3732214298586618,1,0,0,1,0,0,0,0
Astoria,125,1,0,1.3732214298586618,1,0,0,0,1,0,0,0
Gowanus,60,2,37,3.27,1,54,1,0,0,0,1,0
Williamsburg,226,3,203,2.85,1,38,1,0,0,0,0,0
Park Slope,113,1,0,1.3732214298586618,1,0,1,0,0,0,0,0
Upper East Side,110,3,4,0.09,1,0,0,1,0,0,0,0
Upper East Side,75,3,3,0.06,1,0,0,1,0,0,0,0
Lower East Side,100,1,32,2.51,1,0,0,1,0,0,1,0
Flushing,60,1,66,3.07,8,67,0,0,1,0,1,0
Kips Bay,95,15,0,1.3732214298586618,1,89,0,1,0,0,1,0
Greenpoint,80,2,2,0.05,2,0,1,0,0,0,1,0
Bushwick,350,7,0,1.3732214298586618,1,124,1,0,0,0,0,0
Flatbush,350,7,1,0.38,2,77,1,0,0,0,0,0
Battery Park City,200,2,17,3.05,1,79,0,1,0,0,0,0
East Harlem,82,2,3,0.13,1,0,0,1,0,0,0,0
Williamsburg,250,1,1,0.03,1,0,1,0,0,0,0,0
East Village,120,8,6,0.27,1,0,0,1,0,0,0,0
Midtown,180,2,0,1.3732214298586618,1,0,0,1,0,0,1,0
Chinatown,1000,1,2,0.25,1,365,0,1,0,0,0,0
Clinton Hill,77,2,12,0.25,1,0,1,0,0,0,1,0
Midtown,185,3,5,0.27,1,8,0,1,0,0,1,0
Flatlands,125,2,64,4.92,1,194,1,0,0,0,0,0
Williamsburg,120,1,0,1.3732214298586618,1,0,1,0,0,0,1,0
Bedford-Stuyvesant,63,3,15,0.35,1,0,1,0,0,0,1,0
Woodside,56,2,9,2.84,1,4,0,0,1,0,1,0
Midtown,145,5,16,0.84,1,173,0,1,0,0,0,0
West Village,79,28,0,1.3732214298586618,3,70,0,1,0,0,1,0
Bedford-Stuyvesant,82,1,4,0.15,3,0,1,0,0,0,1,0
Crown Heights,475,1,29,1.72,1,123,1,0,0,0,0,0
Stuyvesant Town,160,1,150,3.21,4,238,0,1,0,0,0,0
Crown Heights,245,3,11,1.11,5,280,1,0,0,0,0,0
Cobble Hill,200,3,32,1.52,1,36,1,0,0,0,0,0
Longwood,50,2,0,1.3732214298586618,1,0,0,0,0,0,1,0
Hell's Kitchen,130,5,98,1.73,1,48,0,1,0,0,1,0
East Village,130,3,1,1.0,1,4,0,1,0,0,0,0
Williamsburg,115,7,0,1.3732214298586618,1,0,1,0,0,0,0,0
Flatiron District,200,4,0,1.3732214298586618,1,0,0,1,0,0,0,0
Astoria,74,2,0,1.3732214298586618,1,0,0,0,1,0,0,0
Midtown,110,4,32,0.94,1,167,0,1,0,0,1,0
Upper East Side,109,4,191,3.75,3,243,0,1,0,0,1,0
Williamsburg,165,3,37,5.19,1,34,1,0,0,0,0,0
Williamsburg,185,1,49,1.34,1,50,1,0,0,0,0,0
Midtown,63,1,18,1.2,1,56,0,1,0,0,0,1
Tribeca,1000,2,6,0.25,1,19,0,1,0,0,0,0
Prospect-Lefferts Gardens,55,1,32,3.81,1,0,1,0,0,0,1,0
Bedford-Stuyvesant,56,2,8,0.67,1,0,1,0,0,0,1,0
Bedford-Stuyvesant,30,7,2,0.26,2,250,1,0,0,0,1,0
Bushwick,55,1,1,0.03,1,0,1,0,0,0,1,0
Lower East Side,250,2,0,1.3732214298586618,1,107,0,1,0,0,0,0
Chelsea,159,3,4,2.93,1,1,0,1,0,0,0,0
East Flatbush,91,2,13,2.52,1,305,1,0,0,0,0,0
SoHo,250,2,5,0.26,1,0,0,1,0,0,0,0
Williamsburg,60,1,41,4.42,2,5,1,0,0,0,1,0
Bushwick,249,2,1,1.0,1,17,1,0,0,0,0,0
Gramercy,70,3,3,1.38,2,0,0,1,0,0,0,1
Bay Ridge,139,2,93,3.02,1,217,1,0,0,0,0,0
Upper West Side,74,2,2,0.16,3,0,0,1,0,0,1,0
Crown Heights,75,2,75,2.56,1,275,1,0,0,0,1,0
Nolita,300,3,52,5.2,1,119,0,1,0,0,0,0
Astoria,120,3,23,2.1,1,16,0,0,1,0,0,0
Sunset Park,150,2,0,1.3732214298586618,1,363,1,0,0,0,1,0
East Village,280,2,92,1.59,1,173,0,1,0,0,0,0
Chinatown,151,7,2,0.14,1,0,0,1,0,0,0,0
Harlem,150,5,3,0.38,1,0,0,1,0,0,0,0
Chelsea,139,5,120,3.91,1,52,0,1,0,0,1,0
Bedford-Stuyvesant,40,1,1,0.02,1,0,1,0,0,0,1,0
Crown Heights,50,1,0,1.3732214298586618,1,0,1,0,0,0,1,0
Jamaica,133,1,0,1.3732214298586618,1,281,0,0,1,0,1,0
Washington Heights,62,3,37,0.61,1,35,0,1,0,0,1,0
Bushwick,184,1,29,1.12,1,0,1,0,0,0,0,0
Midtown,185,30,3,0.16,91,147,0,1,0,0,0,0
Clinton Hill,150,2,9,0.2,1,0,1,0,0,0,0,0
Long Island City,71,3,32,2.73,1,77,0,0,1,0,0,0
Greenpoint,100,7,0,1.3732214298586618,1,0,1,0,0,0,0,0
